-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.02%       4.382ms        54.37%       13.852s        1.385s       0.000us         0.00%        3.931s     393.095ms           0 B           0 B           0 B    -240.01 MB            10  
                                       cudaLaunchKernel        50.02%       12.742s        50.02%       12.742s       1.513ms       0.000us         0.00%       5.193ms       0.617us           0 B           0 B           0 B           0 B          8420  
                                            02_backward        38.27%        9.748s        38.38%        9.779s     977.888ms       0.000us         0.00%      81.665us       8.167us      -1.33 KB      -1.33 KB     -91.57 GB     -91.57 GB            10  
                                            aten::copy_         0.08%      21.427ms        26.80%        6.827s       3.161ms     780.196ms         4.95%     780.196ms     361.202us           0 B           0 B           0 B           0 B          2160  
                                               aten::to         0.02%       4.374ms        25.98%        6.618s       2.668ms       0.000us         0.00%     458.696ms     184.958us           0 B           0 B      43.31 GB           0 B          2480  
                                         aten::_to_copy         0.06%      15.486ms        25.96%        6.613s       3.242ms       0.000us         0.00%     458.696ms     224.851us           0 B           0 B      43.31 GB           0 B          2040  
autograd::engine::evaluate_function: ToCopyBackward0...         0.03%       8.632ms        24.25%        6.178s       7.101ms       0.000us         0.00%     245.120ms     281.748us           0 B           0 B      10.60 GB     -10.89 GB           870  
                                        ToCopyBackward0         0.01%       2.337ms        24.21%        6.169s       7.091ms       0.000us         0.00%     244.559ms     281.102us           0 B           0 B      21.48 GB           0 B           870  
                                        01_forward_loss         0.10%      24.353ms        14.89%        3.792s     379.209ms       0.000us         0.00%        3.896s     389.632ms       1.33 KB          80 B      91.75 GB     -32.66 GB            10  
                                  cudaDeviceSynchronize         7.55%        1.923s         7.55%        1.923s        1.923s       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
