-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.06%       1.635ms        58.26%        1.705s     170.461ms       0.000us         0.00%     502.709ms      50.271ms           0 b           0 b           0 b    -240.01 Mb            10  
                                        01_forward_loss         0.00%       0.000us         0.00%       0.000us       0.000us     502.370ms        20.85%     502.370ms      50.237ms           0 b           0 b           0 b           0 b            10  
fmha_cutlassB_bf16_aligned_64x64_k64_seqaligned_sm80...         0.00%       0.000us         0.00%       0.000us       0.000us     495.902ms        20.58%     495.902ms       5.449ms           0 b           0 b           0 b           0 b            91  
                                        01_forward_loss         0.37%      10.712ms        20.58%     602.247ms      60.225ms       0.000us         0.00%     493.940ms      49.394ms       1.33 Kb         -64 b      91.75 Gb     -36.73 Gb            10  
autograd::engine::evaluate_function: ScaledDotProduc...         0.03%     920.000us         1.00%      29.356ms     366.950us       0.000us         0.00%     451.525ms       5.644ms      -1.25 Kb      -1.25 Kb     -10.31 Gb     -25.31 Gb            80  
            ScaledDotProductEfficientAttentionBackward0         0.01%     363.000us         0.97%      28.436ms     355.450us       0.000us         0.00%     451.525ms       5.644ms           0 b           0 b      15.00 Gb           0 b            80  
aten::_scaled_dot_product_efficient_attention_backwa...         0.04%       1.119ms         0.96%      28.073ms     350.913us       0.000us         0.00%     451.525ms       5.644ms           0 b           0 b      15.00 Gb           0 b            80  
                    aten::_efficient_attention_backward         0.05%       1.551ms         0.90%      26.377ms     329.712us     435.925ms        18.09%     451.525ms       5.644ms           0 b           0 b      15.00 Gb     -10.17 Gb            80  
autograd::engine::evaluate_function: NativeLayerNorm...         0.08%       2.336ms         4.57%     133.682ms     835.513us       0.000us         0.00%     350.551ms       2.191ms           0 b           0 b     -40.31 Gb     -60.31 Gb           160  
