timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/05/18 21:05:29.794, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:30.797, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:31.797, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:32.797, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 73.21 W, 30
2026/05/18 21:05:33.797, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 72.89 W, 30
2026/05/18 21:05:34.798, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:35.799, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:36.800, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:37.801, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:38.801, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:39.803, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:40.803, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:41.803, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.67 W, 29
2026/05/18 21:05:42.803, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:43.804, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:44.804, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:05:45.804, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.67 W, 29
2026/05/18 21:05:46.804, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:47.805, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.61 W, 29
2026/05/18 21:05:48.805, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:05:49.806, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.67 W, 29
2026/05/18 21:05:50.807, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 481 MiB, 81920 MiB, 84.08 W, 30
2026/05/18 21:05:51.808, 0, NVIDIA A100-SXM4-80GB, 5 %, 0 %, 10591 MiB, 81920 MiB, 217.93 W, 32
2026/05/18 21:05:52.814, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10607 MiB, 81920 MiB, 314.36 W, 40
2026/05/18 21:05:53.814, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 328.84 W, 42
2026/05/18 21:05:54.814, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 342.13 W, 43
2026/05/18 21:05:55.856, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 330.43 W, 44
2026/05/18 21:05:56.983, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 344.84 W, 44
2026/05/18 21:05:57.983, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 340.60 W, 45
2026/05/18 21:05:58.986, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 331.89 W, 46
2026/05/18 21:05:59.986, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 293.80 W, 46
2026/05/18 21:06:00.986, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 328.31 W, 46
2026/05/18 21:06:01.987, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 321.62 W, 46
2026/05/18 21:06:02.987, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 315.00 W, 47
2026/05/18 21:06:03.987, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 321.36 W, 47
2026/05/18 21:06:04.987, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 307.14 W, 48
2026/05/18 21:06:05.988, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 312.57 W, 48
2026/05/18 21:06:06.991, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 326.46 W, 49
